Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
Fluttering Breeze,Desconhecido,Desconhecido,Desconhecido,11,"R$ 6.344,42","R$ 174,44","R$ 0,00","R$ 6.169,98"
Exalted Bladeform Legacy,Desconhecido,Desconhecido,Desconhecido,52,"R$ 6.031,85","R$ 631,15","R$ 0,00","R$ 5.400,70"
TODAS AS ARCANAS E PERSONAS EXCLUSIVAS,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4.650,00","R$ 0,00","R$ 0,00","R$ 4.650,00"
Fiery Soul of the Slayer,Desconhecido,Desconhecido,Desconhecido,44,"R$ 4.403,39","R$ 272,59","R$ 0,00","R$ 4.130,80"
Frost Avalanche,Desconhecido,Desconhecido,Desconhecido,188,"R$ 14.313,91","R$ 10.433,66","R$ 0,00","R$ 3.880,25"
Tempest Helm of the Thundergod,Desconhecido,Desconhecido,Desconhecido,32,"R$ 4.180,59","R$ 308,40","R$ 0,00","R$ 3.872,19"
Manifold Paradox LVL 3,Desconhecido,Desconhecido,Desconhecido,26,"R$ 3.856,75","R$ 318,40","R$ 0,00","R$ 3.538,35"
Blades of Voth Domosh,Desconhecido,Desconhecido,Desconhecido,30,"R$ 3.780,84","R$ 248,87","R$ 0,00","R$ 3.531,97"
The Resurrection of Shen - Wings,Desconhecido,Desconhecido,Desconhecido,38,"R$ 3.452,88","R$ 81,85","R$ 0,00","R$ 3.371,03"
Manifold Paradox,Desconhecido,Desconhecido,Desconhecido,26,"R$ 3.222,73","R$ 73,09","R$ 0,00","R$ 3.149,64"
Demon Eater,Desconhecido,Desconhecido,Desconhecido,34,"R$ 3.101,81","R$ 295,93","R$ 0,00","R$ 2.805,88"
Exalted The Magus Cypher,Desconhecido,Desconhecido,Desconhecido,22,"R$ 2.898,97","R$ 154,27","R$ 0,00","R$ 2.744,70"
Feast of Abscession,Desconhecido,Desconhecido,Desconhecido,29,"R$ 3.343,74","R$ 621,96","R$ 0,00","R$ 2.721,78"
Vigil Triumph,Desconhecido,Desconhecido,Desconhecido,8,"R$ 2.828,29","R$ 124,52","R$ 0,00","R$ 2.703,77"
The Devotions of Dragonus - Wings,Desconhecido,Desconhecido,Desconhecido,31,"R$ 2.820,18","R$ 157,04","R$ 0,00","R$ 2.663,14"
The King's New Journey,Desconhecido,Desconhecido,Desconhecido,31,"R$ 2.706,44","R$ 72,60","R$ 0,00","R$ 2.633,84"
Inscribed Dragonclaw Hook,Desconhecido,Desconhecido,Desconhecido,3,"R$ 2.581,00","R$ 36,85","R$ 0,00","R$ 2.544,15"
Void + Wind + Shaker + sets raros,Desconhecido,Desconhecido,Desconhecido,1,"R$ 2.700,00","R$ 200,00","R$ 0,00","R$ 2.500,00"
Flockheart's Gamble,Desconhecido,Desconhecido,Desconhecido,16,"R$ 2.496,70","R$ 38,92","R$ 0,00","R$ 2.457,78"
Genuine Weather Ash,Desconhecido,Desconhecido,Desconhecido,44,"R$ 2.416,00","R$ 28,02","R$ 0,00","R$ 2.387,98"
Avowance of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,1,"R$ 2.385,06","R$ 0,00","R$ 0,00","R$ 2.385,06"
Aberrant Observer,Desconhecido,Desconhecido,Desconhecido,33,"R$ 2.479,52","R$ 146,25","R$ 0,00","R$ 2.333,27"
The Magus Cypher,Desconhecido,Desconhecido,Desconhecido,19,"R$ 2.588,79","R$ 285,26","R$ 0,00","R$ 2.303,53"
Harborblossom of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,1,"R$ 2.407,50","R$ 120,38","R$ 0,00","R$ 2.287,12"
Dark Artistry Cape,Desconhecido,Desconhecido,Desconhecido,4,"R$ 2.355,87","R$ 83,20","R$ 0,00","R$ 2.272,67"
Sylvan Vedette,Desconhecido,Desconhecido,Desconhecido,12,"R$ 2.378,90","R$ 118,52","R$ 0,00","R$ 2.260,38"
Lash of the Lizard Kin of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,1,"R$ 2.250,00","R$ 0,00","R$ 0,00","R$ 2.250,00"
Avowance of the Veiled Ones,Desconhecido,Desconhecido,Desconhecido,11,"R$ 2.255,46","R$ 42,21","R$ 0,00","R$ 2.213,25"
Inscribed Blades of Voth Domosh,Desconhecido,Desconhecido,Desconhecido,18,"R$ 2.228,68","R$ 56,05","R$ 0,00","R$ 2.172,63"
Lash of the Lizard Kin,Desconhecido,Desconhecido,Desconhecido,19,"R$ 2.235,05","R$ 65,27","R$ 0,00","R$ 2.169,78"
Fractal Horns of Inner Abysm,Desconhecido,Desconhecido,Desconhecido,16,"R$ 2.163,24","R$ 61,11","R$ 0,00","R$ 2.102,13"
Sullen Harvest,Desconhecido,Desconhecido,Desconhecido,13,"R$ 2.191,98","R$ 148,93","R$ 0,00","R$ 2.043,05"
Bladeform Legacy,Desconhecido,Desconhecido,Desconhecido,19,"R$ 2.535,89","R$ 530,87","R$ 0,00","R$ 2.005,02"
Exalted Manifold Paradox,Desconhecido,Desconhecido,Desconhecido,18,"R$ 2.197,06","R$ 195,55","R$ 0,00","R$ 2.001,51"
Armor of the Demon Trickster,Desconhecido,Desconhecido,Desconhecido,8,"R$ 1.850,76","R$ 16,43","R$ 0,00","R$ 1.834,33"
Secondhand Sorcery,Desconhecido,Desconhecido,Desconhecido,13,"R$ 1.816,10","R$ 5,68","R$ 0,00","R$ 1.810,42"
Maestria Obscura Invoker,Desconhecido,Desconhecido,Desconhecido,3,"R$ 1.803,00","R$ 34,35","R$ 0,00","R$ 1.768,65"
Magus Mimicry,Desconhecido,Desconhecido,Desconhecido,26,"R$ 1.736,25","R$ 12,02","R$ 0,00","R$ 1.724,23"
Genuine Weather Rain,Desconhecido,Desconhecido,Desconhecido,63,"R$ 1.770,00","R$ 57,06","R$ 0,00","R$ 1.712,94"
Exalted Feast of Abscession,Desconhecido,Desconhecido,Desconhecido,19,"R$ 1.775,90","R$ 63,53","R$ 0,00","R$ 1.712,37"
Mace of Aeons,Desconhecido,Desconhecido,Desconhecido,4,"R$ 1.710,77","R$ 1,39","R$ 0,00","R$ 1.709,38"
Weapon of the Ardalan Interdictor,Desconhecido,Desconhecido,Desconhecido,2,"R$ 1.699,59","R$ 0,00","R$ 0,00","R$ 1.699,59"
Monarch of the Sapphire Glen of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,3,"R$ 1.651,38","R$ 0,00","R$ 0,00","R$ 1.651,38"
FACELESS VOID,Desconhecido,Desconhecido,Desconhecido,1,"R$ 1.599,00","R$ 0,00","R$ 0,00","R$ 1.599,00"
Codicil of the Veiled Ones,Desconhecido,Desconhecido,Desconhecido,21,"R$ 1.559,51","R$ 32,25","R$ 0,00","R$ 1.527,26"
Crystal Colossus,Desconhecido,Desconhecido,Desconhecido,9,"R$ 1.660,50","R$ 147,59","R$ 0,00","R$ 1.512,91"
Turstarkuri Pilgrim,Desconhecido,Desconhecido,Desconhecido,5,"R$ 1.542,00","R$ 53,10","R$ 0,00","R$ 1.488,90"
Great Sage's Reckoning,Desconhecido,Desconhecido,Desconhecido,15,"R$ 1.675,92","R$ 238,83","R$ 0,00","R$ 1.437,09"
Chines of the Inquisitor '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,9,"R$ 1.433,00","R$ 45,95","R$ 0,00","R$ 1.387,05"
Widow of the Undermount Gloom,Desconhecido,Desconhecido,Desconhecido,16,"R$ 1.367,60","R$ 4,93","R$ 0,00","R$ 1.362,67"
Stranger in the Wandering Isles '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,7,"R$ 1.486,00","R$ 133,14","R$ 0,00","R$ 1.352,86"
Stranger in the Wandering Isles,Desconhecido,Desconhecido,Desconhecido,5,"R$ 1.349,75","R$ 0,00","R$ 0,00","R$ 1.349,75"
Sea Spirit,Desconhecido,Desconhecido,Desconhecido,15,"R$ 1.357,02","R$ 19,62","R$ 0,00","R$ 1.337,40"
Genuine Silent Wake of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,2,"R$ 1.368,30","R$ 34,76","R$ 0,00","R$ 1.333,54"
Dragonclaw Hook,Desconhecido,Desconhecido,Desconhecido,2,"R$ 1.301,83","R$ 0,00","R$ 0,00","R$ 1.301,83"
Invoker,Desconhecido,Desconhecido,Desconhecido,2,"R$ 1.278,90","R$ 31,50","R$ 0,00","R$ 1.247,40"
Spoils of the Shadowveil '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,12,"R$ 1.277,00","R$ 39,50","R$ 0,00","R$ 1.237,50"
Aegis Do Colecionador  The International 2019,Desconhecido,Desconhecido,Desconhecido,2,"R$ 1.440,00","R$ 220,00","R$ 0,00","R$ 1.220,00"
Indomitable Legacy (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 1.180,00","R$ 0,00","R$ 0,00","R$ 1.180,00"
Unities of Discord,Desconhecido,Desconhecido,Desconhecido,3,"R$ 1.197,68","R$ 18,90","R$ 0,00","R$ 1.178,78"
Disciple of the Wyrmwrought Flame,Desconhecido,Desconhecido,Desconhecido,2,"R$ 1.188,00","R$ 47,52","R$ 0,00","R$ 1.140,48"
Righteous Thunderbolt,Desconhecido,Desconhecido,Desconhecido,16,"R$ 1.202,08","R$ 64,02","R$ 0,00","R$ 1.138,06"
Signs of the Allfather,Desconhecido,Desconhecido,Desconhecido,6,"R$ 1.129,98","R$ 0,00","R$ 0,00","R$ 1.129,98"
Soul Diffuser,Desconhecido,Desconhecido,Desconhecido,7,"R$ 1.127,69","R$ 17,36","R$ 0,00","R$ 1.110,33"
Ancient Exile,Desconhecido,Desconhecido,Desconhecido,5,"R$ 1.240,60","R$ 150,22","R$ 0,00","R$ 1.090,38"
Beast of Thunder,Desconhecido,Desconhecido,Desconhecido,14,"R$ 1.173,30","R$ 85,33","R$ 0,00","R$ 1.087,97"
Master of the Searing Path '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,5,"R$ 1.090,30","R$ 10,40","R$ 0,00","R$ 1.079,90"
Hair of the Survivor,Desconhecido,Desconhecido,Desconhecido,5,"R$ 1.125,00","R$ 45,45","R$ 0,00","R$ 1.079,55"
Axia of Metira,Desconhecido,Desconhecido,Desconhecido,3,"R$ 1.071,42","R$ 0,00","R$ 0,00","R$ 1.071,42"
Spoils of the Shadowveil,Desconhecido,Desconhecido,Desconhecido,6,"R$ 1.137,00","R$ 66,33","R$ 0,00","R$ 1.070,67"
Genuine Weather Aurora,Desconhecido,Desconhecido,Desconhecido,51,"R$ 1.051,10","R$ 35,79","R$ 0,00","R$ 1.015,31"
Silverwurm Sacrifice (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,8,"R$ 1.031,00","R$ 30,35","R$ 0,00","R$ 1.000,65"
Inscribed Demon Eater,Desconhecido,Desconhecido,Desconhecido,9,"R$ 1.001,98","R$ 20,28","R$ 0,00","R$ 981,70"
Tales of the Ardalan Interdictor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 1.201,26","R$ 240,25","R$ 0,00","R$ 961,01"
Weather Ash,Desconhecido,Desconhecido,Desconhecido,18,"R$ 976,00","R$ 30,29","R$ 0,00","R$ 945,71"
Swine of the Sunken Galley,Desconhecido,Desconhecido,Desconhecido,9,"R$ 942,66","R$ 30,08","R$ 0,00","R$ 912,58"
Origin of the Dark Oath '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,6,"R$ 929,50","R$ 20,55","R$ 0,00","R$ 908,95"
Genuine Weather Moonbeam,Desconhecido,Desconhecido,Desconhecido,46,"R$ 948,86","R$ 43,96","R$ 0,00","R$ 904,90"
Dark Behemoth(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 916,00","R$ 12,40","R$ 0,00","R$ 903,60"
Exalted Great Sage's Reckoning,Desconhecido,Desconhecido,Desconhecido,8,"R$ 926,90","R$ 32,28","R$ 0,00","R$ 894,62"
Test of the Basilisk Lord,Desconhecido,Desconhecido,Desconhecido,9,"R$ 928,05","R$ 41,30","R$ 0,00","R$ 886,75"
MIRANA,Desconhecido,Desconhecido,Desconhecido,2,"R$ 869,00","R$ 3,00","R$ 0,00","R$ 866,00"
ZEUS,Desconhecido,Desconhecido,Desconhecido,4,"R$ 876,00","R$ 11,55","R$ 0,00","R$ 864,45"
Genuine Weather Pestilence,Desconhecido,Desconhecido,Desconhecido,42,"R$ 870,50","R$ 13,98","R$ 0,00","R$ 856,52"
Beast of the Crimson Ring,Desconhecido,Desconhecido,Desconhecido,6,"R$ 861,78","R$ 7,40","R$ 0,00","R$ 854,38"
Beholden of the Banished Ones '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,8,"R$ 904,00","R$ 69,99","R$ 0,00","R$ 834,01"
Doll of the Dead,Desconhecido,Desconhecido,Desconhecido,10,"R$ 879,90","R$ 52,35","R$ 0,00","R$ 827,55"
Inscribed Insatiable Bonesaw,Desconhecido,Desconhecido,Desconhecido,9,"R$ 890,04","R$ 63,48","R$ 0,00","R$ 826,56"
Manifold Paradox LVL3,Desconhecido,Desconhecido,Desconhecido,6,"R$ 840,00","R$ 14,98","R$ 0,00","R$ 825,02"
Genuine Weather Spring,Desconhecido,Desconhecido,Desconhecido,40,"R$ 834,40","R$ 19,43","R$ 0,00","R$ 814,97"
Jagged Honor,Desconhecido,Desconhecido,Desconhecido,5,"R$ 901,10","R$ 86,25","R$ 0,00","R$ 814,85"
Genuine Weather Snow,Desconhecido,Desconhecido,Desconhecido,35,"R$ 821,00","R$ 13,87","R$ 0,00","R$ 807,13"
Awaleb's Trundleweed of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,1,"R$ 805,02","R$ 0,00","R$ 0,00","R$ 805,02"
Blade of Tears,Desconhecido,Desconhecido,Desconhecido,8,"R$ 865,82","R$ 63,76","R$ 0,00","R$ 802,06"
Snailfire,Desconhecido,Desconhecido,Desconhecido,3,"R$ 801,00","R$ 4,79","R$ 0,00","R$ 796,21"
Vision of the Seraph Scion '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 810,00","R$ 18,50","R$ 0,00","R$ 791,50"
Weather Rain,Desconhecido,Desconhecido,Desconhecido,31,"R$ 828,00","R$ 44,08","R$ 0,00","R$ 783,92"
Exalted Demon Eater,Desconhecido,Desconhecido,Desconhecido,7,"R$ 822,05","R$ 47,50","R$ 0,00","R$ 774,55"
Angel of Vex(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 880,90","R$ 117,27","R$ 0,00","R$ 763,63"
Steward of the Forbidden Chamber,Desconhecido,Desconhecido,Desconhecido,4,"R$ 790,25","R$ 27,60","R$ 0,00","R$ 762,65"
MORPHLING,Desconhecido,Desconhecido,Desconhecido,1,"R$ 780,00","R$ 24,70","R$ 0,00","R$ 755,30"
Dirge Amplifier,Desconhecido,Desconhecido,Desconhecido,7,"R$ 762,55","R$ 11,49","R$ 0,00","R$ 751,06"
Scales of the Shadow Walker,Desconhecido,Desconhecido,Desconhecido,5,"R$ 741,05","R$ 14,06","R$ 0,00","R$ 726,99"
Aegis Do Colecionador  The International 2022,Desconhecido,Desconhecido,Desconhecido,1,"R$ 720,00","R$ 0,00","R$ 0,00","R$ 720,00"
Aegis Do Colecionador  The International 2020,Desconhecido,Desconhecido,Desconhecido,1,"R$ 720,00","R$ 0,00","R$ 0,00","R$ 720,00"
Manifold Paradox LVL1 ou 2,Desconhecido,Desconhecido,Desconhecido,6,"R$ 822,00","R$ 106,52","R$ 0,00","R$ 715,48"
Staff of Perplex,Desconhecido,Desconhecido,Desconhecido,16,"R$ 785,88","R$ 73,14","R$ 0,00","R$ 712,74"
Trophies of the Hallowed Hunt,Desconhecido,Desconhecido,Desconhecido,5,"R$ 731,43","R$ 19,80","R$ 0,00","R$ 711,63"
Twilight Schism of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,1,"R$ 711,00","R$ 0,00","R$ 0,00","R$ 711,00"
Genuine Weather Harvest,Desconhecido,Desconhecido,Desconhecido,35,"R$ 703,00","R$ 11,10","R$ 0,00","R$ 691,90"
The Magus Cypher UNLOCKED,Desconhecido,Desconhecido,Desconhecido,5,"R$ 710,00","R$ 21,50","R$ 0,00","R$ 688,50"
6 arcanas + 3 personas,Desconhecido,Desconhecido,Desconhecido,1,"R$ 699,00","R$ 20,97","R$ 0,00","R$ 678,03"
Beholden of the Banished Ones,Desconhecido,Desconhecido,Desconhecido,4,"R$ 688,00","R$ 13,44","R$ 0,00","R$ 674,56"
Red Sands Marauder '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,6,"R$ 678,00","R$ 6,50","R$ 0,00","R$ 671,50"
Horror from the Deep,Desconhecido,Desconhecido,Desconhecido,4,"R$ 680,32","R$ 9,96","R$ 0,00","R$ 670,36"
Ancient Inheritance '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,8,"R$ 688,00","R$ 19,00","R$ 0,00","R$ 669,00"
Orb of Deliverance of the Crimson Witness,Desconhecido,Desconhecido,Desconhecido,1,"R$ 668,21","R$ 0,00","R$ 0,00","R$ 668,21"
Crescent Huntress,Desconhecido,Desconhecido,Desconhecido,11,"R$ 673,20","R$ 5,32","R$ 0,00","R$ 667,88"
Phantom's Facade,Desconhecido,Desconhecido,Desconhecido,11,"R$ 667,00","R$ 0,00","R$ 0,00","R$ 667,00"
Shadow in the Deep Armor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 665,00","R$ 0,00","R$ 0,00","R$ 665,00"
Bane of the Deathstalkers - Back,Desconhecido,Desconhecido,Desconhecido,5,"R$ 704,94","R$ 40,24","R$ 0,00","R$ 664,70"
Starlorn Adjudicator,Desconhecido,Desconhecido,Desconhecido,6,"R$ 718,00","R$ 59,43","R$ 0,00","R$ 658,57"
Pisces Gemini,Desconhecido,Desconhecido,Desconhecido,11,"R$ 661,00","R$ 4,11","R$ 0,00","R$ 656,89"
Master of the Searing Path,Desconhecido,Desconhecido,Desconhecido,3,"R$ 663,73","R$ 7,76","R$ 0,00","R$ 655,97"
Brightfist (30 dias de amizade necessário),Desconhecido,Desconhecido,Desconhecido,10,"R$ 727,00","R$ 86,36","R$ 0,00","R$ 640,64"
Flockheart's Gamble UPADA,Desconhecido,Desconhecido,Desconhecido,5,"R$ 791,75","R$ 171,40","R$ 0,00","R$ 620,35"
Eternal Radiance Blades,Desconhecido,Desconhecido,Desconhecido,5,"R$ 635,00","R$ 16,76","R$ 0,00","R$ 618,24"
God's Mercy,Desconhecido,Desconhecido,Desconhecido,8,"R$ 614,00","R$ 8,69","R$ 0,00","R$ 605,31"
Heir of Menace,Desconhecido,Desconhecido,Desconhecido,2,"R$ 635,00","R$ 31,75","R$ 0,00","R$ 603,25"
Brands of the Reaper '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,5,"R$ 603,00","R$ 5,70","R$ 0,00","R$ 597,30"
Ardalan Arsonist,Desconhecido,Desconhecido,Desconhecido,9,"R$ 605,40","R$ 8,92","R$ 0,00","R$ 596,48"
Rotten Stache,Desconhecido,Desconhecido,Desconhecido,4,"R$ 724,58","R$ 129,85","R$ 0,00","R$ 594,73"
Bloodmoon Stalker,Desconhecido,Desconhecido,Desconhecido,8,"R$ 607,22","R$ 18,37","R$ 0,00","R$ 588,85"
Voidhammer,Desconhecido,Desconhecido,Desconhecido,7,"R$ 596,95","R$ 8,16","R$ 0,00","R$ 588,79"
Designs of the Dragon,Desconhecido,Desconhecido,Desconhecido,9,"R$ 637,50","R$ 52,06","R$ 0,00","R$ 585,44"
Darktrench Stalker - Back,Desconhecido,Desconhecido,Desconhecido,2,"R$ 579,77","R$ 0,00","R$ 0,00","R$ 579,77"
Silent Slayer '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,6,"R$ 588,00","R$ 11,70","R$ 0,00","R$ 576,30"
Magus Accord,Desconhecido,Desconhecido,Desconhecido,8,"R$ 584,45","R$ 15,72","R$ 0,00","R$ 568,73"
Cruelties of the Spiral Bore (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 563,40","R$ 0,00","R$ 0,00","R$ 563,40"
Battlefury,Desconhecido,Desconhecido,Desconhecido,6,"R$ 578,55","R$ 15,95","R$ 0,00","R$ 562,60"
Reaper's Wreath,Desconhecido,Desconhecido,Desconhecido,31,"R$ 812,24","R$ 254,78","R$ 0,00","R$ 557,46"
Golden Hydrakan Latch,Desconhecido,Desconhecido,Desconhecido,3,"R$ 554,65","R$ 0,00","R$ 0,00","R$ 554,65"
Exalted Flockheart's Gamble,Desconhecido,Desconhecido,Desconhecido,4,"R$ 567,45","R$ 27,27","R$ 0,00","R$ 540,18"
Velveteen Vanquisher,Desconhecido,Desconhecido,Desconhecido,7,"R$ 549,90","R$ 11,55","R$ 0,00","R$ 538,35"
Shadowleaf Insurgent,Desconhecido,Desconhecido,Desconhecido,3,"R$ 537,00","R$ 0,00","R$ 0,00","R$ 537,00"
Golden Moonfall,Desconhecido,Desconhecido,Desconhecido,9,"R$ 597,86","R$ 63,20","R$ 0,00","R$ 534,66"
Desert Burn Saddle,Desconhecido,Desconhecido,Desconhecido,4,"R$ 549,92","R$ 16,25","R$ 0,00","R$ 533,67"
Exquisite Agonies,Desconhecido,Desconhecido,Desconhecido,18,"R$ 591,00","R$ 57,99","R$ 0,00","R$ 533,01"
Bootblack Brawler,Desconhecido,Desconhecido,Desconhecido,14,"R$ 536,00","R$ 4,24","R$ 0,00","R$ 531,76"
Glory of the Elderflame (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 541,70","R$ 12,85","R$ 0,00","R$ 528,85"
Apex Automated,Desconhecido,Desconhecido,Desconhecido,3,"R$ 568,68","R$ 39,84","R$ 0,00","R$ 528,84"
Shadowleaf Insurgent '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,5,"R$ 533,00","R$ 9,70","R$ 0,00","R$ 523,30"
Interstellar Astrarium,Desconhecido,Desconhecido,Desconhecido,9,"R$ 527,00","R$ 3,92","R$ 0,00","R$ 523,08"
Worship of the Whispered Wing,Desconhecido,Desconhecido,Desconhecido,7,"R$ 525,00","R$ 2,70","R$ 0,00","R$ 522,30"
Blistering Shade,Desconhecido,Desconhecido,Desconhecido,13,"R$ 595,68","R$ 75,41","R$ 0,00","R$ 520,27"
Endless Night,Desconhecido,Desconhecido,Desconhecido,3,"R$ 522,17","R$ 9,59","R$ 0,00","R$ 512,58"
Test of the Basilisk Lord '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,6,"R$ 517,00","R$ 6,70","R$ 0,00","R$ 510,30"
Secrets of the Frost Singularity,Desconhecido,Desconhecido,Desconhecido,5,"R$ 539,49","R$ 31,73","R$ 0,00","R$ 507,76"
Days of the Demon '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,4,"R$ 519,00","R$ 12,20","R$ 0,00","R$ 506,80"
Exalted Tempest Helm of the Thundergod,Desconhecido,Desconhecido,Desconhecido,4,"R$ 504,59","R$ 0,00","R$ 0,00","R$ 504,59"
Pyrexae Polymorph Perfected,Desconhecido,Desconhecido,Desconhecido,3,"R$ 513,80","R$ 13,63","R$ 0,00","R$ 500,17"
Aegis Do Colecionador - The International 2019,Desconhecido,Desconhecido,Desconhecido,1,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 500,00"
Aegis Do Colecionador - The International 2020,Desconhecido,Desconhecido,Desconhecido,1,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 500,00"
Aegis Do Colecionador - The International 2017,Desconhecido,Desconhecido,Desconhecido,1,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 500,00"
Aegis Do Colecionador - The International 2018,Desconhecido,Desconhecido,Desconhecido,1,"R$ 500,00","R$ 0,00","R$ 0,00","R$ 500,00"
Auspicious Battlefury,Desconhecido,Desconhecido,Desconhecido,7,"R$ 499,22","R$ 4,67","R$ 0,00","R$ 494,55"
Soul Shredder,Desconhecido,Desconhecido,Desconhecido,5,"R$ 516,91","R$ 26,82","R$ 0,00","R$ 490,09"
Creed of the Skullhound '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,5,"R$ 508,00","R$ 21,75","R$ 0,00","R$ 486,25"
Silver Squall,Desconhecido,Desconhecido,Desconhecido,3,"R$ 486,36","R$ 5,27","R$ 0,00","R$ 481,09"
JUGGERNAUT,Desconhecido,Desconhecido,Desconhecido,1,"R$ 479,00","R$ 0,00","R$ 0,00","R$ 479,00"
Talons of the Endless Storm,Desconhecido,Desconhecido,Desconhecido,3,"R$ 486,00","R$ 8,10","R$ 0,00","R$ 477,90"
Grasping Bludgeon,Desconhecido,Desconhecido,Desconhecido,11,"R$ 527,25","R$ 51,00","R$ 0,00","R$ 476,25"
Silent Wake,Desconhecido,Desconhecido,Desconhecido,8,"R$ 527,81","R$ 57,10","R$ 0,00","R$ 470,71"
Blacksail Cannoneer '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,6,"R$ 568,64","R$ 99,66","R$ 0,00","R$ 468,98"
Stranger in the Wandering Isles (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 530,10","R$ 61,83","R$ 0,00","R$ 468,27"
Little Red,Desconhecido,Desconhecido,Desconhecido,9,"R$ 479,00","R$ 15,80","R$ 0,00","R$ 463,20"
TERRORBLADE,Desconhecido,Desconhecido,Desconhecido,1,"R$ 483,00","R$ 24,15","R$ 0,00","R$ 458,85"
March of the Crackerjack Mage,Desconhecido,Desconhecido,Desconhecido,4,"R$ 454,50","R$ 3,93","R$ 0,00","R$ 450,57"
Lineage of the Stormlords (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 450,00","R$ 0,00","R$ 0,00","R$ 450,00"
Sullen Hollow,Desconhecido,Desconhecido,Desconhecido,7,"R$ 470,77","R$ 21,55","R$ 0,00","R$ 449,22"
Sullen Rampart,Desconhecido,Desconhecido,Desconhecido,12,"R$ 495,68","R$ 46,69","R$ 0,00","R$ 448,99"
Chines of the Inquisitor(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,7,"R$ 461,00","R$ 12,55","R$ 0,00","R$ 448,45"
Bane of the Deathstalkers,Desconhecido,Desconhecido,Desconhecido,2,"R$ 494,00","R$ 47,00","R$ 0,00","R$ 447,00"
Proselyte of the Sakura Clan,Desconhecido,Desconhecido,Desconhecido,8,"R$ 452,50","R$ 6,00","R$ 0,00","R$ 446,50"
PHANTOM ASSASSIN 2,Desconhecido,Desconhecido,Desconhecido,1,"R$ 443,00","R$ 0,00","R$ 0,00","R$ 443,00"
Genuine Weather Sirocco,Desconhecido,Desconhecido,Desconhecido,28,"R$ 449,00","R$ 7,09","R$ 0,00","R$ 441,91"
Bloodfeather Frock,Desconhecido,Desconhecido,Desconhecido,3,"R$ 449,13","R$ 7,61","R$ 0,00","R$ 441,52"
Inscribed Righteous Thunderbolt,Desconhecido,Desconhecido,Desconhecido,6,"R$ 463,99","R$ 22,82","R$ 0,00","R$ 441,17"
Vision of the Seraph Scion (30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,3,"R$ 450,00","R$ 10,00","R$ 0,00","R$ 440,00"
Bracers of Aeons,Desconhecido,Desconhecido,Desconhecido,18,"R$ 484,13","R$ 48,03","R$ 0,00","R$ 436,10"
Undying Love,Desconhecido,Desconhecido,Desconhecido,6,"R$ 442,50","R$ 7,23","R$ 0,00","R$ 435,27"
Seam Ripper Snuggle Time,Desconhecido,Desconhecido,Desconhecido,13,"R$ 447,20","R$ 12,11","R$ 0,00","R$ 435,09"
Silverwurm Sacrifice,Desconhecido,Desconhecido,Desconhecido,2,"R$ 470,00","R$ 36,13","R$ 0,00","R$ 433,87"
