Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
Wyvern Hatchling,Desconhecido,Desconhecido,Desconhecido,13,"R$ 17,70","R$ 9,20","R$ 0,00","R$ 8,50"
The International 2023 HUD,Desconhecido,Desconhecido,Desconhecido,4,"R$ 8,50","R$ 0,04","R$ 0,00","R$ 8,46"
Inscribed Severing Lash,Desconhecido,Desconhecido,Desconhecido,1,"R$ 8,62","R$ 0,17","R$ 0,00","R$ 8,45"
Crucible of Rile,Desconhecido,Desconhecido,Desconhecido,12,"R$ 9,21","R$ 0,78","R$ 0,00","R$ 8,43"
Wings of Unfettered Malevolence,Desconhecido,Desconhecido,Desconhecido,3,"R$ 8,80","R$ 0,42","R$ 0,00","R$ 8,38"
Infused Aquemerald Blade,Desconhecido,Desconhecido,Desconhecido,3,"R$ 8,37","R$ 0,02","R$ 0,00","R$ 8,35"
Dreadmist Dragoon - Mount,Desconhecido,Desconhecido,Desconhecido,1,"R$ 12,43","R$ 4,10","R$ 0,00","R$ 8,33"
Darktrench Stalker Loading Screen,Desconhecido,Desconhecido,Desconhecido,2,"R$ 8,30","R$ 0,00","R$ 0,00","R$ 8,30"
Harborblossom,Desconhecido,Desconhecido,Desconhecido,10,"R$ 9,63","R$ 1,41","R$ 0,00","R$ 8,22"
Paragon's Pride,Desconhecido,Desconhecido,Desconhecido,4,"R$ 10,67","R$ 2,48","R$ 0,00","R$ 8,19"
Taunt: Battle Dressage,Desconhecido,Desconhecido,Desconhecido,3,"R$ 8,14","R$ 0,00","R$ 0,00","R$ 8,14"
Taunt: In the Spirit of Peace,Desconhecido,Desconhecido,Desconhecido,10,"R$ 8,88","R$ 0,75","R$ 0,00","R$ 8,13"
Searing Dominator,Desconhecido,Desconhecido,Desconhecido,5,"R$ 8,83","R$ 0,73","R$ 0,00","R$ 8,10"
Shoulders of the Survivor,Desconhecido,Desconhecido,Desconhecido,1,"R$ 8,10","R$ 0,00","R$ 0,00","R$ 8,10"
Conspicuous Culprit,Desconhecido,Desconhecido,Desconhecido,1,"R$ 8,10","R$ 0,00","R$ 0,00","R$ 8,10"
Taunt: Funk of the Dead,Desconhecido,Desconhecido,Desconhecido,2,"R$ 8,14","R$ 0,04","R$ 0,00","R$ 8,10"
Unusual Seraphic Greevil,Desconhecido,Desconhecido,Desconhecido,2,"R$ 8,08","R$ 0,00","R$ 0,00","R$ 8,08"
Apocalypse Unbound '(30 dias para envio GIFT),Desconhecido,Desconhecido,Desconhecido,1,"R$ 63,00","R$ 54,96","R$ 0,00","R$ 8,04"
Birdfeed Bandit,Desconhecido,Desconhecido,Desconhecido,2,"R$ 8,75","R$ 0,72","R$ 0,00","R$ 8,03"
Taunt: Making Friends,Desconhecido,Desconhecido,Desconhecido,3,"R$ 8,04","R$ 0,09","R$ 0,00","R$ 7,95"
Stuntwood Sanctuary,Desconhecido,Desconhecido,Desconhecido,5,"R$ 8,88","R$ 0,93","R$ 0,00","R$ 7,95"
Golden Rectifier,Desconhecido,Desconhecido,Desconhecido,12,"R$ 11,39","R$ 3,48","R$ 0,00","R$ 7,91"
Blastmitt Berserker,Desconhecido,Desconhecido,Desconhecido,9,"R$ 8,91","R$ 1,02","R$ 0,00","R$ 7,89"
Heart of Eztzhok,Desconhecido,Desconhecido,Desconhecido,4,"R$ 8,40","R$ 0,60","R$ 0,00","R$ 7,80"
Taunt: Bring It On,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,87","R$ 0,09","R$ 0,00","R$ 7,78"
Mecha Boots of Travel Mk III,Desconhecido,Desconhecido,Desconhecido,3,"R$ 10,20","R$ 2,45","R$ 0,00","R$ 7,75"
Voice of Flockheart's Gamble,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,72","R$ 0,00","R$ 0,00","R$ 7,72"
Taunt: Sawed-off Watergun,Desconhecido,Desconhecido,Desconhecido,4,"R$ 7,80","R$ 0,09","R$ 0,00","R$ 7,71"
Taunt: Step Lively,Desconhecido,Desconhecido,Desconhecido,4,"R$ 7,79","R$ 0,08","R$ 0,00","R$ 7,71"
